feature,shap_value,feature_value,stock,sample_idx
RSI_14,-0.0005254646155767946,37.51399776035831,BEXIMCO,2
Volume_Ratio,-0.0005225872551512918,1.7506884804881675,BEXIMCO,2
Volatility_30d,0.00042797211710311213,0.3031502043419999,BEXIMCO,2
ATR_14,-0.00037910082851044607,2.6328571428571417,BEXIMCO,2
BB_Position,0.0003581744499886004,0.3094309090380284,BEXIMCO,2
BB_Upper,-0.0002720561128244719,78.61103930161066,BEXIMCO,2
EMA_12,-0.00026363946438272073,70.617251201112,BEXIMCO,2
SMA_200,-0.0010094194292654807,36.88725,BEXIMCO,3
Volatility_30d,-0.0007806523428925563,0.4145112644802406,BEXIMCO,3
SMA_50,0.0007200889686926873,40.209,BEXIMCO,3
SMA_10,-0.00033257847177683026,37.148,BEXIMCO,3
ATR_14,-0.00028680796811782986,1.3242857142857132,BEXIMCO,3
Returns_20d,0.00023903219406703168,0.0061973227565692,BEXIMCO,3
BB_Position,-0.0002228584443778376,1.031577314272892,BEXIMCO,3
Volume_Ratio,0.0002066928418252644,0.4673840346550406,BEXIMCO,3
MACD_Signal,0.00018039711478965348,-1.180706464639593,BEXIMCO,3
Returns_5d,0.0001614601573267712,0.1360201511335015,BEXIMCO,3
SMA_200,-0.0010314252133346127,36.65965,BEXIMCO,4
Volatility_30d,-0.0006798123972742702,0.3859950152917323,BEXIMCO,4
SMA_50,0.0006691240762764371,40.338,BEXIMCO,4
ATR_14,-0.000553611478393353,1.1507142857142851,BEXIMCO,4
SMA_10,-0.0005458942499601102,36.355,BEXIMCO,4
SMA_5,-0.0004706247876804626,36.09,BEXIMCO,4
Volume_Ratio,-0.0004562010629895831,1.5233684918861627,BEXIMCO,4
RSI_14,-0.0004299075011649778,47.92719919110213,BEXIMCO,4
SMA_100,-0.0002236522612944351,41.081900000000005,BEXIMCO,4
BB_Position,0.00021234310015683458,0.4535948669779003,BEXIMCO,4
Volume_SMA_20,0.0006177577245853789,309634.4,BEXPHARMA,0
ATR_14,0.00036799833557497874,4.063571428571428,BEXPHARMA,0
Volume_Ratio,-0.00032661488764065523,1.0469928405887716,BEXPHARMA,0
Returns_20d,-0.00030524949643008373,-0.0522945570971183,BEXPHARMA,0
SMA_10,0.00028000411956361686,117.15600000000002,BEXPHARMA,0
RSI_14,-0.00023835993605536825,46.140081799591016,BEXPHARMA,0
Volatility_30d,-0.0001844166928614201,0.3320732750103864,BEXPHARMA,0
Returns_1d,0.00015583822580359343,-0.0254252789464056,BEXPHARMA,0
SMA_50,-0.00013877657233058648,110.9964,BEXPHARMA,0
Returns_5d,0.0001329695913130963,-0.1370961211434124,BEXPHARMA,0
Returns_20d,-0.000927541203578317,-0.0775948941887807,BEXPHARMA,1
ATR_14,0.000697887908269654,2.870714285714289,BEXPHARMA,1
Volatility_30d,-0.0006787945458986462,0.2499939486408869,BEXPHARMA,1
SMA_10,0.0003953030465369896,82.97099999999999,BEXPHARMA,1
Volume_SMA_20,0.000389925054599943,379715.15,BEXPHARMA,1
Volume_Ratio,0.0002601419937565783,0.8424262239734179,BEXPHARMA,1
RSI_14,-0.0002525658030446149,46.4325529542921,BEXPHARMA,1
BB_Position,0.00023195974736482975,0.2429899453109525,BEXPHARMA,1
SMA_5,0.00019709771678711797,82.91,BEXPHARMA,1
EMA_12,0.00010659729465462913,83.46500718965042,BEXPHARMA,1
Volume_Ratio,-0.001285757512610201,1.9382642694668812,BEXPHARMA,2
Returns_20d,0.0005223776346176654,0.0298052100445904,BEXPHARMA,2
SMA_5,0.0005183219663096781,89.168,BEXPHARMA,2
Volatility_30d,0.0003750134322778307,0.3759813760165548,BEXPHARMA,2
ATR_14,-0.0003347701478511188,2.4692857142857148,BEXPHARMA,2
Volume_SMA_20,0.00031953017450683796,382632.55,BEXPHARMA,2
SMA_10,-0.00026030070011576087,88.023,BEXPHARMA,2
Returns_1d,-0.00025468406057126266,0.0165643461137496,BEXPHARMA,2
BB_Position,-0.0002042412520718439,0.7044222699640766,BEXPHARMA,2
RSI_14,0.00013343695863735116,63.4380453752182,BEXPHARMA,2
Returns_20d,0.001081263529114597,0.0611116695145239,BEXPHARMA,3
SMA_5,0.00048533970783466425,106.83,BEXPHARMA,3
Volatility_30d,0.00032594281084632614,0.3574345201720236,BEXPHARMA,3
BB_Position,-0.00028583565250532166,0.7728305117636504,BEXPHARMA,3
SMA_100,0.00026493638459535183,93.3739,BEXPHARMA,3
SMA_50,0.00025760453048077604,103.9692,BEXPHARMA,3
Returns_1d,0.00025733444366088723,-0.0076142131979695,BEXPHARMA,3
Volume_SMA_20,-0.0002532107830502245,553977.35,BEXPHARMA,3
SMA_200,0.0002138455183476105,83.2217,BEXPHARMA,3
EMA_50,0.0001992462056223066,100.80859854208582,BEXPHARMA,3
Volume_Ratio,-0.0011213162497782534,1.8994465946503571,BEXPHARMA,4
Returns_20d,0.0009532217038590584,0.0782686036169582,BEXPHARMA,4
BB_Position,-0.00044402803279664323,1.1187614790897455,BEXPHARMA,4
SMA_50,0.00030183513349819603,103.786,BEXPHARMA,4
SMA_10,0.0002934446164350405,101.212,BEXPHARMA,4
SMA_100,0.0002726387461512255,92.4659,BEXPHARMA,4
SMA_5,0.00023021930763689194,104.52,BEXPHARMA,4
SMA_200,0.0002259076631547791,82.72715,BEXPHARMA,4
